,brightness
561,159.0572274
562,0
563,161.4561471
564,152.4201389
565,0
566,108.1475694
567,145.9914159
568,158.3414995
569,123.4444123
570,142.4791988
571,88.02581662
572,109.3051376
573,158.1610404
574,73.50421168
575,89.90895062
576,98.74951775
577,0
578,176.9136767
579,111.35018
580,95.20431456
581,104.0013503
582,194.4801633
583,151.7856867
584,110.5330826
585,0
586,118.5002572
587,165.0358475
588,140.0795718
589,129.9316487
590,200.6153549
591,86.21408822
592,188.8097029
593,0
594,41.02562371
595,127.376704
596,130.091821
597,128.5159787
598,95.70058513
599,0
600,128.5208333
601,96.11882716
602,147.5525334
603,141.3643904
604,154.7951067
605,145.37799
606,112.1841564
607,101.2124807
608,140.820216
609,113.8998843
610,135.6644483
611,171.1436793
612,146.3740998
613,0
614,98.58982767
615,105.494438
616,188.6902971
617,121.4339635
618,63.03346836
619,84.15158822
620,125.9564686
621,84.6334555
622,119.0732703
623,105.6154192
624,62.30873843
625,128.5873843
626,0
627,0
628,83.40589635
629,116.7331533
630,99.77645962
631,0
632,103.3784079
633,98.73877958
634,130.5195473
635,155.0850694
636,141.376704
637,169.4732832
638,128.7422518
639,130.0371978
640,84.13069059
641,125.1069637
642,92.91136188
643,153.5277778
644,190.700553
645,123.5867091
646,113.1362204
647,97.62168853
648,150.6471193
649,137.9764017
650,122.3807549
651,154.6562822
652,102.0444959
653,142.079186
654,189.0291281
655,137.4499421
656,160.1967593
657,124.708044
658,169.5617284
659,112.1469264
660,134.525463
661,0
662,97.88522377
663,99.35198045
664,118.6905864
665,105.4916409
666,171.0965149
667,144.228813
668,180.7509002
669,74.87889017
670,53.33783436
671,121.829829
672,130.8613362
673,131.1517811
674,91.06909079
675,137.9443158
676,167.7181713
677,140.0928176
678,191.8664802
679,97.67113555
680,73.79755015
681,123.5341114
682,109.5275849
683,0
684,125.1470872
685,119.1371528
686,75.5701839
687,0
688,121.5748457
689,0
690,0
691,95.09764017
692,111.3801119
693,0
694,0
695,165.2654964
696,167.4135802
697,165.120499
698,88.88011188
699,128.9786844
700,131.4997428
701,148.2558192
702,0
703,126.7496463
704,92.66078318
705,102.284465
706,0
707,80.41724537
708,0
709,128.5127636
710,125.3387024
711,131.1403678
712,113.5760352
713,108.3578318
714,206.4855967
715,154.5584169
716,126.0407986
717,143.5922068
718,108.8302469
719,153.8803048
