,price_by_model
409,114.3072891
410,112.7624588
411,137.8401031
412,115.1277008
413,122.2599258
414,132.0461578
415,147.5438232
416,142.7833252
417,133.9585571
418,136.3908081
419,0
420,126.8989105
421,0
422,124.6615219
423,130.7634277
424,137.7841644
425,134.1168213
426,135.7960052
427,116.6242905
428,0
429,115.894165
430,121.1831741
431,0
432,137.1008759
433,93.30177307
434,146.918457
435,128.6337433
436,124.4586029
437,145.0462189
438,114.9829636
439,93.04009247
440,112.5688553
441,116.8498001
442,142.4421387
443,131.6490326
444,132.9761505
445,109.916153
446,159.0252533
447,124.143364
448,128.6519928
449,120.3512192
450,111.5366058
451,127.6019287
452,128.9499207
453,127.4542847
454,0
455,117.7940979
456,143.5283051
457,93.4467926
458,0
459,0
460,121.2680435
461,130.5171051
462,134.8359985
463,117.916481
464,124.3858871
465,77.53931427
466,160.073349
467,118.6529541
468,0
469,157.7387695
470,146.3456573
471,126.2409973
472,139.327713
473,111.8064499
474,112.8916245
475,133.6376648
476,119.3289795
477,161.4309082
478,122.5996552
479,89.66998291
480,129.0236511
481,0
482,0
483,139.5018158
484,134.7262421
485,115.5497513
486,131.629837
487,117.3546524
488,131.71492
489,129.580658
490,119.0227585
491,120.3426285
492,105.2654419
493,96.11676788
494,0
495,151.7658081
496,128.2591248
497,139.2664795
498,113.0113068
499,114.5532684
500,116.0532913
501,125.382988
502,122.2053604
503,115.9649353
504,121.0805969
505,118.989502
506,124.5637436
507,127.4801407
508,113.4944305
509,0
510,102.1375122
511,120.0377197
512,130.1995392
513,98.15054321
514,0
515,127.7028503
516,123.5677948
517,103.5498886
518,120.4182892
519,123.3457565
520,0
521,126.6673737
522,0
523,92.2014389
524,142.4930573
525,125.3359985
526,146.1047058
527,115.9966736
528,0
529,141.4493408
530,0
531,126.7022476
532,123.1107483
533,112.5135269
534,135.9704895
535,104.688118
536,151.5027771
537,120.4117966
538,0
539,147.6093292
540,127.5628891
541,130.0968018
542,0
543,117.2224274
544,115.3897705
545,139.3790588
546,149.6046448
547,117.7630386
548,98.09222412
549,125.4719696
550,98.86238098
551,124.6228333
552,139.331955
553,135.6278992
554,119.6595078
555,137.5404663
556,126.5806732
557,122.569809
558,123.9275436
559,104.4511108
560,117.3132553
561,0
562,160.6401825
563,117.5197983
564,0
565,116.301384
566,124.3949051
567,127.8953171
568,103.0326004
569,115.2814789
570,131.073822
571,109.0688782
572,133.7262421
573,121.6168289
574,126.1559601
575,108.0881119
576,0
577,118.9718857
578,131.1444855
579,126.4237137
580,108.9186325
581,110.2491302
582,119.2328796
583,133.1526947
584,0
585,64.80111694
586,112.8989182
587,120.0067215
588,130.0139313
589,102.0383682
590,129.4443817
591,116.7191849
592,0
593,106.5494766
594,126.2462387
595,99.41750336
596,107.8202972
597,147.8450928
598,0
599,119.7303543
600,99.47020721
601,119.0861816
602,110.9426651
603,118.5110168
604,137.3136749
605,132.5630646
606,138.9968567
607,128.718338
608,125.1417313
609,131.9405975
610,116.7820358
611,86.42062378
612,0
613,130.2756348
614,142.7405548
615,138.223938
616,118.3084183
617,115.2167358
618,138.7918854
619,117.6348267
620,124.0811081
621,121.871048
622,135.4700623
623,108.7083511
624,140.6303711
625,0
626,0
627,129.4653778
628,108.6949539
629,107.6001205
630,0
631,126.0520477
632,109.7942963
633,134.0655823
634,103.3657608
635,146.7937469
636,122.4404373
637,144.5131378
638,118.6365204
639,126.8254013
640,123.291214
641,123.3454361
642,122.9010391
643,132.9836426
644,114.9252396
645,96.43680573
646,126.6206207
647,135.7058105
648,117.5653152
649,120.624382
650,128.0074768
651,141.5517731
652,121.2108612
653,100.2779694
654,138.2183533
655,100.9584122
656,116.0641708
657,137.1531219
658,112.4511948
659,148.1552277
660,0
661,132.3798065
662,123.5646362
663,131.948822
664,136.245575
665,112.8433838
666,99.25106812
667,121.6390076
668,161.7056885
669,113.8273239
670,133.3369598
671,110.9274216
672,122.0007553
673,123.0205231
674,142.8148651
675,129.4867096
676,107.3215714
677,141.8006439
678,136.3160858
679,151.6531372
680,108.7796021
681,141.052124
682,0
683,136.1522827
684,141.8244171
685,101.6671219
686,0
687,91.05940247
688,0
689,0
690,139.2170563
691,153.9320374
692,0
693,0
694,134.1198273
695,110.3171539
696,107.8094711
697,133.7276154
698,116.5264511
699,150.9026184
700,136.1945343
701,0
702,96.83166504
703,108.5031967
704,123.4537888
705,0
706,139.684845
707,0
708,139.2641907
709,109.500145
710,146.0933075
711,132.4107056
712,113.5995255
713,85.86759949
714,119.2120438
715,149.6810303
716,129.6364136
717,134.524704
718,141.7381439
719,140.6096802
720,106.6504364
721,0
722,117.8173447
723,146.846344
724,124.580864
725,139.1309662
726,130.7671967
